file_name,mean,std,sem,count,rating_1,rating_2,rating_3,rating_4,rating_5
train/DDAE_snr-2_babble_TMHINT_b2_21_02.wav,1.0,,,1,1,0,0,0,0
train/DDAE_snr-2_babble_TMHINT_b2_21_03.wav,1.0,,,1,1,0,0,0,0
train/DDAE_snr-2_babble_TMHINT_b2_21_07.wav,2.0,,,1,0,1,0,0,0
train/DDAE_snr-2_babble_TMHINT_b2_22_01.wav,3.0,2.8284271247461903,2.0,2,1,0,0,0,1
train/DDAE_snr-2_babble_TMHINT_b2_22_07.wav,1.0,0.0,0.0,2,2,0,0,0,0
train/DDAE_snr-2_babble_TMHINT_b2_22_09.wav,2.0,1.4142135623730951,1.0,2,1,0,1,0,0
train/DDAE_snr-2_babble_TMHINT_b2_22_10.wav,1.0,,,1,1,0,0,0,0
train/DDAE_snr-2_babble_TMHINT_b2_23_03.wav,1.0,,,1,1,0,0,0,0
train/DDAE_snr-2_babble_TMHINT_b2_23_05.wav,1.0,,,1,1,0,0,0,0
train/DDAE_snr-2_babble_TMHINT_b2_23_06.wav,3.0,,,1,0,0,1,0,0
train/DDAE_snr-2_babble_TMHINT_b2_23_10.wav,3.0,0.0,0.0,2,0,0,2,0,0
train/DDAE_snr-2_babble_TMHINT_b2_24_02.wav,3.0,1.4142135623730951,1.0,2,0,1,0,1,0
train/DDAE_snr-2_babble_TMHINT_b2_24_03.wav,2.0,,,1,0,1,0,0,0
train/DDAE_snr-2_babble_TMHINT_b2_24_06.wav,2.0,,,1,0,1,0,0,0
train/DDAE_snr-2_babble_TMHINT_b2_24_07.wav,1.0,,,1,1,0,0,0,0
train/DDAE_snr-2_babble_TMHINT_b2_24_10.wav,3.0,,,1,0,0,1,0,0
train/DDAE_snr-2_babble_TMHINT_b2_25_01.wav,2.0,,,1,0,1,0,0,0
train/DDAE_snr-2_babble_TMHINT_b2_25_02.wav,1.5,0.7071067811865476,0.5,2,1,1,0,0,0
train/DDAE_snr-2_babble_TMHINT_b2_25_05.wav,1.0,0.0,0.0,2,2,0,0,0,0
train/DDAE_snr-2_babble_TMHINT_b2_25_07.wav,1.0,0.0,0.0,2,2,0,0,0,0
train/DDAE_snr-2_babble_TMHINT_b2_25_09.wav,1.0,,,1,1,0,0,0,0
train/DDAE_snr-2_babble_TMHINT_b2_26_02.wav,2.5,0.7071067811865476,0.5,2,0,1,1,0,0
train/DDAE_snr-2_babble_TMHINT_b2_26_06.wav,3.0,0.0,0.0,2,0,0,2,0,0
train/DDAE_snr-2_babble_TMHINT_b2_26_07.wav,3.0,2.8284271247461903,2.0,2,1,0,0,0,1
train/DDAE_snr-2_babble_TMHINT_b2_26_09.wav,2.0,,,1,0,1,0,0,0
train/DDAE_snr-2_babble_TMHINT_b2_26_10.wav,3.0,,,1,0,0,1,0,0
train/DDAE_snr-2_babble_TMHINT_b2_27_01.wav,3.5,0.7071067811865476,0.5,2,0,0,1,1,0
train/DDAE_snr-2_babble_TMHINT_b2_27_04.wav,3.0,,,1,0,0,1,0,0
train/DDAE_snr-2_babble_TMHINT_b2_27_10.wav,2.5,0.7071067811865476,0.5,2,0,1,1,0,0
train/DDAE_snr-2_babble_TMHINT_b2_28_01.wav,3.0,2.8284271247461903,2.0,2,1,0,0,0,1
train/DDAE_snr-2_babble_TMHINT_b2_28_02.wav,1.0,0.0,0.0,2,2,0,0,0,0
train/DDAE_snr-2_babble_TMHINT_b2_28_03.wav,2.0,,,1,0,1,0,0,0
train/DDAE_snr-2_babble_TMHINT_b2_28_05.wav,1.0,,,1,1,0,0,0,0
train/DDAE_snr-2_babble_TMHINT_b2_28_07.wav,3.0,,,1,0,0,1,0,0
train/DDAE_snr-2_babble_TMHINT_b2_28_08.wav,2.0,,,1,0,1,0,0,0
train/DDAE_snr-2_babble_TMHINT_b2_28_10.wav,2.0,0.0,0.0,2,0,2,0,0,0
train/DDAE_snr-2_babble_TMHINT_b2_29_02.wav,2.0,,,1,0,1,0,0,0
train/DDAE_snr-2_babble_TMHINT_b2_29_03.wav,1.0,0.0,0.0,2,2,0,0,0,0
train/DDAE_snr-2_babble_TMHINT_b2_29_06.wav,1.0,0.0,0.0,2,2,0,0,0,0
train/DDAE_snr-2_babble_TMHINT_b2_29_10.wav,1.0,,,1,1,0,0,0,0
train/DDAE_snr-2_babble_TMHINT_b2_30_04.wav,4.0,,,1,0,0,0,1,0
train/DDAE_snr-2_babble_TMHINT_b2_30_05.wav,1.0,0.0,0.0,2,2,0,0,0,0
train/DDAE_snr-2_babble_TMHINT_b2_31_01.wav,1.5,0.7071067811865476,0.5,2,1,1,0,0,0
train/DDAE_snr-2_babble_TMHINT_b2_31_02.wav,2.0,,,1,0,1,0,0,0
train/DDAE_snr-2_babble_TMHINT_b2_31_03.wav,2.0,,,1,0,1,0,0,0
train/DDAE_snr-2_babble_TMHINT_b2_31_04.wav,1.5,0.7071067811865476,0.5,2,1,1,0,0,0
train/DDAE_snr-2_babble_TMHINT_b2_31_05.wav,3.0,0.0,0.0,2,0,0,2,0,0
train/DDAE_snr-2_babble_TMHINT_b2_31_06.wav,1.5,0.7071067811865476,0.5,2,1,1,0,0,0
train/DDAE_snr-2_babble_TMHINT_b2_31_08.wav,3.0,0.0,0.0,2,0,0,2,0,0
train/DDAE_snr-2_babble_TMHINT_b2_31_10.wav,3.0,0.0,0.0,2,0,0,2,0,0
train/DDAE_snr-2_babble_TMHINT_b2_32_03.wav,1.0,,,1,1,0,0,0,0
train/DDAE_snr-2_babble_TMHINT_b2_32_04.wav,1.0,,,1,1,0,0,0,0
train/DDAE_snr-2_babble_TMHINT_b2_32_06.wav,1.0,,,1,1,0,0,0,0
train/DDAE_snr-2_babble_TMHINT_b2_32_07.wav,2.0,,,1,0,1,0,0,0
train/DDAE_snr-2_babble_TMHINT_g4_21_02.wav,2.0,1.4142135623730951,1.0,2,1,0,1,0,0
train/DDAE_snr-2_babble_TMHINT_g4_21_03.wav,2.0,,,1,0,1,0,0,0
train/DDAE_snr-2_babble_TMHINT_g4_21_04.wav,1.0,,,1,1,0,0,0,0
train/DDAE_snr-2_babble_TMHINT_g4_21_05.wav,2.0,,,1,0,1,0,0,0
train/DDAE_snr-2_babble_TMHINT_g4_21_06.wav,2.0,,,1,0,1,0,0,0
